#=============================================================================#
#          dieharder version 3.31.2beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |  k ints/sec|k doubles/sec|
        mt19937|  3.16e+08  |1728411028|    316035  |     220210  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.72372563|  PASSED
      diehard_operm5|   0|   1000000|     100|0.93385189|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.24074063|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.28868712|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.34877089|  PASSED
        diehard_opso|   0|   2097152|     100|0.82488011|  PASSED
        diehard_oqso|   0|   2097152|     100|0.35039659|  PASSED
         diehard_dna|   0|   2097152|     100|0.46227220|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.74344410|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.97349906|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.33862926|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.75098217|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.93765253|  PASSED
     diehard_squeeze|   0|    100000|     100|0.46092994|  PASSED
        diehard_runs|   0|    100000|     100|0.23000219|  PASSED
        diehard_runs|   0|    100000|     100|0.47806187|  PASSED
       diehard_craps|   0|    200000|     100|0.58717542|  PASSED
       diehard_craps|   0|    200000|     100|0.05476685|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.15681267|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.25963656|  PASSED
         sts_monobit|   1|    100000|     100|0.76506355|  PASSED
            sts_runs|   2|    100000|     100|0.70230254|  PASSED
          sts_serial|   1|    100000|     100|0.99764763|   WEAK
          sts_serial|   2|    100000|     100|0.18973770|  PASSED
          sts_serial|   3|    100000|     100|0.40999470|  PASSED
          sts_serial|   3|    100000|     100|0.77635996|  PASSED
          sts_serial|   4|    100000|     100|0.60431886|  PASSED
          sts_serial|   4|    100000|     100|0.84181417|  PASSED
          sts_serial|   5|    100000|     100|0.07057588|  PASSED
          sts_serial|   5|    100000|     100|0.11420101|  PASSED
          sts_serial|   6|    100000|     100|0.40042527|  PASSED
          sts_serial|   6|    100000|     100|0.59160515|  PASSED
          sts_serial|   7|    100000|     100|0.80706506|  PASSED
